PMT 13 Efficiency
Run#	2030	2029	2028	2027	2026
HV:	700	725	750	775	800
1	0.389	0.534	0.657	0.687	0.860
2	0.495	0.711	0.848	0.910	0.949
4	0.635	0.829	0.943	0.955	0.907
5	0.696	0.839	0.970	0.985	0.953
6	0.780	0.958	0.985	1.000	0.908
7	0.936	0.977	0.997	0.984	0.965
8	0.919	0.951	0.994	0.981	0.968
9	0.906	0.965	0.986	0.967	0.947
10	0.867	0.976	0.968	0.989	0.910
11	0.885	0.943	0.977	0.963	0.952
12	0.796	0.966	0.978	0.988	0.959
14	0.682	0.903	0.919	0.960	0.968
15	0.523	0.737	0.868	0.942	0.915
16	0.078	0.268	0.592	0.631	0.772
