Run#	1929	1928	1927	1926	1925
PMT 2	700	725	750	775	800
1   	46.2	45.3	45.6	47.6	51.5
2	50.9	50.0	49.6	51.3	55.3
3	59.9	57.2	55.0	55.4	58.5
4	47.3	46.4	46.7	48.2	51.3
5	87.9	79.9	74.1	71.6	74.3
6	33.7	33.4	33.8	34.9	37.1
7	33.3	33.4	34.0	34.7	36.6
8	42.1	40.0	40.0	41.3	43.3
9	49.9	48.0	48.4	49.3	51.7
10	31.4	32.1	32.7	33.7	34.9
11	41.5	40.7	39.8	40.8	41.8
12	47.7	47.7	48.4	50.2	52.8
13	0.0	0.0	0.0	0.0	0.0
14	41.4	40.9	41.6	43.3	45.1
15	40.3	40.1	40.8	42.4	43.3
16	0.0	0.0	0.0	0.0	0.0
