PMT 9 Efficiency
Run#	2030	2029	2028	2027	2026
HV:	700	725	750	775	800
1	0.372	0.494	0.642	0.707	0.806
2	0.482	0.732	0.854	0.867	0.947
3	0.519	0.716	0.886	0.929	0.906
4	0.608	0.901	0.973	0.946	0.949
5	0.585	0.814	0.955	0.954	0.854
6	0.498	0.749	0.968	0.968	0.920
7	0.655	0.853	0.958	0.938	0.889
8	0.495	0.711	0.925	0.936	0.930
9	0.636	0.799	0.932	0.962	0.877
10	0.592	0.804	0.934	0.876	0.947
11	0.470	0.592	0.877	0.880	0.815
12	0.546	0.732	0.800	0.844	0.870
14	0.942	0.518	0.707	0.812	0.821
15	0.096	0.408	0.584	0.724	0.694
