Comparison of mean for PMT 6 before and after resistors installed.
	   (1858)      	     	    	(1875)
Pixel	   Mean		Sigma		Mean	Sigma
1	   568		142		304	72
2	   350		80		295	76
3	   2071		451		250	132
4	   514		180		309	92
5	   382		80		297	64
6	   412		86		298	59
7	   305		65		275	64
8	   330		76		307	68
9	   245		49		227	49
10	   415		92		301	62
11	   350		82		310	70
12	   323		88		318	71
14	   165		50		170	55
15	   513		129		276	116
