Run#	1611	1610	1609	1607	1609
PMT 10	700	725	750	775	800
1	40.7	40.4	40.6	42.0	43.8
2	117.6	115.8	112.4	106.9	100.2
3	102.6	99.4	95.8	90.5	83.6
4	0.0	0.0	0.0	0.0	0.0
5	106.4	104.5	98.3	92.7	85.1
6	101.5	95.8	91.4	85.5	79.3
7	113.1	109.0	103.4	98.4	91.3
8	103.8	100.7	95.3	88.4	82.5
9	57.5	54.1	49.7	46.0	44.4
10	63.2	59.9	54.2	49.4	45.8
11	31.6	29.7	29.2	29.5	29.4
12	82.9	78.1	72.3	66.7	61.0
13	124.4	122.0	117.0	110.0	104.4
14	0.0	0.0	0.0	0.0	0.0
15	45.7	42.0	38.9	38.8	40.7
16	241.8	213.1	198.5	189.3	178.5
