PMT 11 Efficiency
Run#	2030	2029	2028	2027	2026
HV:	700	725	750	775	800
1	0.618	0.727	0.818	0.861	0.921
2	0.681	0.744	0.834	0.911	0.746
3	0.762	0.878	0.963	0.980	0.985
4	0.587	0.761	0.959	0.980	0.901
5	0.721	0.872	0.965	0.989	0.921
6	0.531	0.778	0.949	0.983	0.987
7	0.172	0.653	0.982	0.968	0.989
8	0.257	0.967	0.949	0.980	0.977
9	0.753	0.857	0.942	0.983	0.892
10	0.907	0.938	0.984	0.992	0.978
11	0.880	0.930	0.926	0.975	0.754
12	0.000	0.000	0.045	0.243	0.799
13	0.658	0.799	0.854	0.972	0.990
14	0.634	0.710	0.769	0.825	0.860
