PMT 14 Efficiency
Run#	2030	2029	2028	2027	2026
HV:	700	725	750	775	800
2	0.461	0.626	0.726	0.831	0.896
3	0.458	0.848	0.963	0.955	0.958
4	0.597	0.859	0.969	0.962	0.966
5	0.626	0.853	0.970	0.975	0.951
6	0.735	0.933	0.991	0.977	1.000
7	0.745	0.866	0.992	0.988	0.989
8	0.698	0.934	1.000	0.995	0.974
9	0.818	0.864	0.977	0.988	0.989
10	0.819	0.895	0.971	0.990	0.965
11	0.945	0.967	0.973	0.974	0.985
12	0.818	0.973	0.980	0.987	0.967
13	0.706	0.962	0.969	0.924	0.938
14	0.743	0.898	0.970	0.977	0.985
15	0.670	0.885	0.931	0.974	0.976
