PMT 7 Efficiency
Run#	2030	2029	2028	2027	2026
HV:	700	725	750	775	800
2	0.636	0.738	0.848	0.882	0.910
3	0.637	0.841	0.915	0.961	0.725
4	0.638	0.853	-nan	-nan	-nan
5	0.649	0.750	0.974	0.967	0.872
6	0.747	0.953	0.978	0.968	0.832
7	0.636	0.906	0.954	0.994	0.996
8	0.751	0.938	0.982	1.000	0.981
9	0.608	0.854	0.986	0.951	0.637
10	0.691	0.885	0.958	0.970	0.810
11	0.766	0.893	0.980	0.996	0.757
12	0.707	0.870	0.968	0.972	0.920
13	0.491	0.787	0.941	0.960	0.986
14	0.298	0.682	0.917	0.974	0.947
15	0.552	0.766	0.807	0.907	0.910
