PMT 4 Efficiency
Run#	2031	2032	2033	2034	2035
HV:	700	725	750	775	800
1	0.717	0.848	0.883	0.921	0.963
2	0.944	0.877	0.900	0.790	0.894
3	0.943	0.954	0.954	0.908	0.945
5	0.946	0.943	0.921	0.850	0.942
6	0.946	0.952	0.963	0.949	0.989
8	0.988	0.964	0.975	0.958	0.962
9	0.966	0.955	0.860	0.863	0.940
10	0.942	0.897	0.920	0.954	0.960
11	0.942	0.920	0.915	0.967	1.000
12	0.958	0.991	0.970	0.957	0.957
13	0.968	0.977	0.967	0.963	0.967
14	0.929	0.952	0.831	0.838	0.868
15	0.896	0.940	0.889	0.857	0.933
16	0.835	0.866	0.922	0.958	0.978
