PMT 3 Efficiency
Run#	2031	2032	2033	2034	2035
HV:	700	725	750	775	800
1	0.621	0.774	0.814	0.885	0.922
2	0.777	0.940	0.981	0.981	0.948
3	0.668	0.889	0.969	0.939	0.962
4	0.718	0.907	0.976	0.950	0.988
5	0.792	0.952	0.981	0.984	0.978
7	0.899	0.973	0.988	0.979	0.977
8	0.905	0.980	0.989	0.944	0.971
9	0.784	0.967	0.960	0.943	0.976
10	0.863	0.975	0.963	0.942	0.976
11	0.727	0.920	0.952	0.961	0.940
12	0.784	0.948	0.975	0.985	0.991
14	0.738	0.847	0.949	0.967	0.940
15	0.764	0.859	0.905	0.955	0.954
16	0.708	0.809	0.858	0.907	0.941
