Comparison of mean ADC for PMT 10 before and after resistors installed.
	   (1889)      	       	 (1891)
Pixel	   Mean	   Sigma	 Mean	Sigma
1	   313	   80		 315	73
2	   365	   76		 353	72
3	   357	   73		 332	64
4	   378	   77		 338	71
5	   405	   95		 350	81
6	   328	   64		 312	64
7	   416	   92		 353	75
8	   332	   68		 318	72
9	   290	   85		 273	76
10	   300	   65		 297	64
11	   286	   57		 281	52
12	   380	   75		 354	73
13	   506	   123		 367	98
14	   506	   123		 367	98
