Run #: 1858	 PMT #: 4 	  Paramters of fitted ADC data with good TDC. 
Pixel # 	 Mean Value 	 Error 	 Sigma 

1	552.03	0.264399	165.184
2	1641.41	2.08673		345.309
3	740.739	0.217621	117.534
4	869.552	0.232086	153.654
5	0	0	Missing Pixel
6	1190.70	2.703		197.765
7	1116.25	2.96226		231.832
8	765.483	0.213682	146.897
9	722.250	0.191861	134.791
10	497.596	0.786011	100.992
11	795.146	1.18955		155.089
12	969.343	0.927972	186.305
13	820.185	0.882246	141.866
14	1142.13	3.14937		170.003
15	552.785	0.158892	104.536
16	0	0	Missing Pixel
