Comparison of mean for PMT 5 before and after resistors installed.
	   (1858)      	     	(1865)
Pixel	   Mean		Sigma	Mean	Sigma
1	   498		135	165	92
2	   617		163	249	77
3	   484		148	248	63	   
5	   353		83	248	68
6	   342		69	239	67
7	   317		81	250	70
8	   331		78	257	59
9	   266		74	247	69
10	   243		59	251	66
11	   264		69	247	70
12	   267		72	259	66
13	   200		60	197	59
15	   305		81	261	73
16	   264		71	252	79
