Comparison of mean ADC for PMT 4 before and after resistors installed.
	   (1858)      	       	 (1859)
Pixel	   Mean	   Sigma	 Mean	Sigma
1	   552	   180		 544	138
2	   1641	   389  	 636	170
3	   741	   147		 617	150
4	   870	   167		 622	143
6	   1191	   271		 652	163
7	   1116	   268		 628	130
8	   765	   147		 621	155
9	   722	   141		 510	103
10	   497	   94		 514	107
11	   795	   126		 655	126
12	   969	   193		 670	127
13	   820	   143		 610	127
14	   1142	   274		 630	128
15	   553	   101		 560	118
