PMT 13 Efficiency
Run#	1578	1575	1574	1589	1588
HV:	700	725	750	775	800
1	0.712	0.849	0.787	0.824	0.812
2	0.841	0.879	0.879	0.784	0.684
3	0.554	0.720	0.883	0.826	0.909
4	0.846	0.987	0.995	0.972	0.920
5	0.737	0.940	0.952	0.927	0.950
6	0.919	0.992	0.983	0.979	0.897
7	0.971	0.996	0.994	0.990	0.903
8	0.927	0.988	0.992	0.974	0.984
9	0.955	0.991	0.974	0.958	0.963
10	0.889	0.942	0.964	0.937	0.860
11	0.881	0.949	0.955	0.926	0.927
12	0.919	0.966	0.964	0.963	0.903
14	0.825	0.905	0.898	0.956	0.837
15	0.614	0.729	0.795	0.862	0.913
