PMT 10 Efficiency
Run#	1578	1575	1574	1573	1566
HV:	700	725	750	775	800
1	0.741	0.820	0.720	0.923	0.946
3	0.776	0.950	0.725	0.969	0.927
4	0.866	0.982	0.634	0.967	0.914
5	0.874	0.979	0.722	1.000	0.960
6	0.941	0.994	0.680	0.919	0.882
7	0.974	0.984	0.706	0.913	0.818
8	0.980	0.979	0.712	1.000	1.000
9	0.813	0.977	0.791	0.953	0.948
10	0.982	0.971	0.689	0.944	0.880
11	0.969	0.992	0.616	0.930	0.933
12	0.967	0.994	0.796	0.992	0.952
13	0.959	0.949	0.651	0.982	0.889
14	0.885	0.949	0.734	0.970	0.944
15	0.696	0.798	0.632	0.894	0.922
