Comparison of Mean ADCs for PMT1 before and after resistors
          (1558)             (1562)
Pixel     Mean    Sigma      Mean    Sigma
1	  725.8	  168.5	     738.3   265.1
2	  738.3	  184.0	     737.7   203.2
3         583.5   130.1	     642.4   117.0
4         786.0   208.8	     759.6   189.2
5         930.0   188.1	     744.5   180.8
7         842.8   179.4	     782.0   144.4
8         830.0   199.0	     764.9   147.8
9         980.4   311.7	     745.2   155.4
10        981.7   324.6	     767.1   270.1
11        1146.9  189.1	     779.6   176.7
12        843.5   189.2	     754.4   193.5
14        1063.9  311.3	     759.5   139.6
15        1121.1  307.7	     839.3   165.7
16        826.3   206.2	     754.5   180.2
