PMT 6 Efficiency
Run#	1578	1575	1574	1573	1565
HV:	700	725	750	775	800
1	0.841	0.868	0.878	0.881	0.878
2	0.621	0.803	0.853	0.921	0.954
3	0.778	0.913	0.889	0.924	0.860
4	0.952	0.954	0.994	0.992	0.953
5	0.906	0.984	0.980	0.988	0.986
6	0.989	0.996	0.980	0.943	0.971
7	0.975	0.991	0.990	0.921	1.000
8	1.000	0.996	1.000	0.971	1.000
9	0.976	0.975	0.968	0.976	0.955
10	0.997	0.983	1.000	1.000	1.000
11	0.982	0.987	0.981	0.979	0.905
12	0.920	0.984	0.973	0.942	0.979
14	0.832	0.904	0.957	0.966	0.974
15	0.943	0.951	0.945	0.954	0.989
